HexID,Month,TimeIndex,DestinationType,W_in_kWh_day,W_in_kWh_annual,E_public_by_dest_type_kWh_day,E_public_by_dest_type_kWh_annual
30,January,16,fast,0.0,0.0,50.0,1550.0
30,January,17,slow,0.0,0.0,0.0,0.0
30,January,17,medium,0.0,0.0,27.65042849239262,857.1632832641712
30,January,17,fast,0.0,0.0,50.0,1550.0
30,January,18,slow,0.0,0.0,0.0,0.0
30,January,18,medium,0.0,0.0,33.0,1023.0
30,January,18,fast,0.0,0.0,50.0,1550.0
30,January,19,slow,0.0,0.0,0.0,0.0
30,January,19,medium,0.0,0.0,13.367273293321773,414.38547209297496
30,January,19,fast,0.0,0.0,50.0,1550.0
30,January,20,slow,0.0,0.0,0.0,0.0
30,January,20,medium,0.0,0.0,0.0,0.0
30,January,20,fast,0.0,0.0,42.24563583127292,1309.6147107694605
30,January,21,slow,0.0,0.0,0.0,0.0
30,January,21,medium,0.0,0.0,0.0,0.0
30,January,21,fast,0.0,0.0,21.342195996566566,661.6080758935635
30,January,22,slow,0.0,0.0,0.0,0.0
30,January,22,medium,0.0,0.0,0.0,0.0
30,January,22,fast,0.0,0.0,12.39426855012057,384.2223250537377
30,January,23,slow,0.0,0.0,0.0,0.0
30,January,23,medium,0.0,0.0,0.0,0.0
30,January,23,fast,0.0,0.0,28.77361123498686,891.9819482845926
30,January,24,slow,0.0,0.0,0.0,0.0
30,January,24,medium,0.0,0.0,0.0,0.0
30,January,24,fast,0.0,0.0,35.038315711829156,1086.1877870667038
30,January,25,slow,0.0,0.0,0.0,0.0
30,January,25,medium,0.0,0.0,0.0,0.0
30,January,25,fast,0.0,0.0,24.726402263023335,766.5184701537233
30,January,26,slow,0.0,0.0,0.0,0.0
30,January,26,medium,0.0,0.0,0.0,0.0
30,January,26,fast,0.0,0.0,7.69243898637404,238.46560857759525
30,January,27,slow,0.0,0.0,0.0,0.0
30,January,27,medium,0.0,0.0,0.0,0.0
30,January,27,fast,0.0,0.0,23.481721698113212,727.9333726415095
30,January,28,slow,0.0,0.0,0.0,0.0
30,January,28,medium,0.0,0.0,0.0,0.0
30,January,28,fast,0.0,0.0,36.07090577282785,1118.1980789576633
30,January,29,slow,0.0,0.0,0.0,0.0
30,January,29,medium,0.0,0.0,0.0,0.0
30,January,29,fast,0.0,0.0,42.67007957901407,1322.7724669494362
30,January,30,slow,0.0,0.0,0.0,0.0
30,January,30,medium,0.0,0.0,0.0,0.0
30,January,30,fast,0.0,0.0,33.12889075267968,1026.9956133330702
30,January,31,slow,0.0,0.0,0.0,0.0
30,January,31,medium,0.0,0.0,0.0,0.0
30,January,31,fast,0.0,0.0,35.78468209024929,1109.325144797728
30,January,32,slow,0.0,0.0,0.0,0.0
30,January,32,medium,0.0,0.0,0.0,0.0
30,January,32,fast,0.0,0.0,18.263631663719696,566.1725815753106
30,January,33,slow,0.0,0.0,0.0,0.0
30,January,33,medium,0.0,0.0,0.0,0.0
30,January,33,fast,2.73491640067121,84.78240842080751,5.527757739483279,171.36048992398165
30,January,34,slow,0.0,0.0,0.0,0.0
30,January,34,medium,0.0,0.0,0.0,0.0
30,January,34,fast,0.0,0.0,7.978158048067147,247.32289949008157
30,January,35,slow,0.0,0.0,0.0,0.0
30,January,35,medium,0.0,0.0,0.0,0.0
30,January,35,fast,8.491703611274396,263.2428119495063,10.220704224395181,316.8418309562506
30,January,36,slow,0.0,0.0,0.0,0.0
30,January,36,medium,0.0,0.0,0.0,0.0
30,January,36,fast,0.0,0.0,22.1842744383728,687.7125075895568
30,January,37,slow,0.0,0.0,0.0,0.0
30,January,37,medium,0.0,0.0,0.0,0.0
30,January,37,fast,0.0,0.0,20.16923251635854,625.2462080071148
30,January,38,slow,0.0,0.0,0.0,0.0
30,January,38,medium,0.0,0.0,0.0,0.0
30,January,38,fast,0.0,0.0,10.654039656703167,330.2752293577982
30,January,39,slow,0.0,0.0,0.0,0.0
30,January,39,medium,0.0,0.0,0.0,0.0
30,January,39,fast,0.0,0.0,4.492453388584638,139.26605504612377
30,January,40,slow,0.0,0.0,0.0,0.0
30,January,40,medium,0.0,0.0,0.0,0.0
30,January,40,fast,0.0,0.0,0.0,0.0
30,January,41,slow,0.0,0.0,0.0,0.0
30,January,41,medium,0.0,0.0,0.0,0.0
30,January,41,fast,0.0,0.0,0.0,0.0
30,January,42,slow,0.0,0.0,0.0,0.0
30,January,42,medium,0.0,0.0,0.0,0.0
30,January,42,fast,0.0,0.0,0.0,0.0
30,January,43,slow,0.0,0.0,0.0,0.0
30,January,43,medium,0.0,0.0,0.0,0.0
30,January,43,fast,0.0,0.0,0.0,0.0
30,January,44,slow,0.0,0.0,0.0,0.0
30,January,44,medium,0.0,0.0,0.0,0.0
30,January,44,fast,0.0,0.0,0.0,0.0
30,January,45,slow,0.0,0.0,0.0,0.0
30,January,45,medium,0.0,0.0,0.0,0.0
30,January,45,fast,0.0,0.0,0.0,0.0
30,January,46,slow,0.0,0.0,0.0,0.0
30,January,46,medium,0.0,0.0,0.0,0.0
30,January,46,fast,0.0,0.0,0.0,0.0
30,January,47,slow,0.0,0.0,0.0,0.0
30,January,47,medium,0.0,0.0,0.0,0.0
30,January,47,fast,0.0,0.0,0.0,0.0
30,January,48,slow,0.0,0.0,0.0,0.0
30,January,48,medium,0.0,0.0,0.0,0.0
30,January,48,fast,0.0,0.0,0.0,0.0
30,February,1,slow,0.0,0.0,0.0,0.0
30,February,1,medium,0.0,0.0,0.0,0.0
30,February,1,fast,0.0,0.0,0.0,0.0
