Month,TimeIndex,G_kWh_day,R_kWh_day,W_kWh_day,ThetaType_master_SEK,TypeAssignmentCost_reconstructed_SEK
May,48,0.0,0.0,0.0,0.0,0.0
June,1,0.0,0.0,0.0,0.0,0.0
June,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
June,3,4.537846938930301,4.537846938930301,4.537846938930301,0.0,0.0
June,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
June,5,0.0,0.0,0.0,0.0,0.0
June,6,0.0,0.0,0.0,0.0,0.0
June,7,0.8630021666666667,0.8630021666666666,0.8630021666666667,0.0,0.0
June,8,0.8247296691496162,0.8247296691496162,0.8247296691496162,0.0,0.0
June,9,3.8634620021189257,3.8634620021189257,3.8634620021189257,0.0,0.0
June,10,6.053557250002654,6.053557250002654,6.053557250002654,0.0,0.0
June,11,14.44733881986566,14.44733881986566,14.44733881986566,0.0,0.0
June,12,4.286419526352592,4.286419526352592,4.286419526352592,0.0,9.079013290577764
June,13,43.509320743786034,43.509320743786034,43.509320743786034,0.0,0.0
June,14,16.645065662218506,16.645065662218506,16.645065662218506,0.0,0.0
June,15,19.526240131256575,19.526240131256575,19.526240131256575,0.0,0.0
June,16,53.42884405716414,53.42884405716414,53.42884405716296,0.0,220.13621094858115
June,17,177.74649042539312,177.74649042539312,177.74649042539312,0.0,175.9239072246811
June,18,134.0228398642322,134.0228398642322,134.0228398642322,0.0,0.0
June,19,115.14137298259743,115.14137298259743,115.14137298259742,0.0,0.0
June,20,75.83425080512083,75.83425080512083,75.83425080512083,0.0,0.0
June,21,101.83163557806505,101.83163557806505,101.83163557806505,0.0,0.0
June,22,95.59059472641196,95.59059472641196,95.59059472641196,0.0,0.0
June,23,124.74092716258353,124.74092716258353,124.74092716258346,0.0,0.0
June,24,86.39403013412786,86.39403013412786,86.3940301341279,0.0,0.0
June,25,92.5015967696568,92.5015967696568,92.5015967696568,0.0,0.0
June,26,119.44578616646666,119.44578616646666,119.44578616646666,0.0,231.54021715286476
June,27,166.95275326324568,166.95275326324568,166.95275326324568,0.0,0.0
June,28,177.5306037597589,177.5306037597589,177.5306037597589,0.0,0.0
June,29,162.63071845293683,162.63071845293683,162.63071845293683,0.0,0.0
June,30,165.32358014368344,165.32358014368344,165.32358014368344,0.0,0.0
June,31,106.25284350875921,106.25284350875921,106.25284350875921,0.0,0.0
June,32,89.29453417459095,89.29453417459095,89.29453417459095,0.0,0.0
June,33,66.2162149983181,66.2162149983181,66.2162149983181,0.0,260.07920241781903
June,34,68.66819869256426,68.66819869256426,68.66819869256426,0.0,0.0
June,35,48.03333833854312,48.03333833854312,48.03333833854312,0.0,0.0
June,36,26.57103803174624,26.57103803174624,26.57103803174624,0.0,0.0
June,37,2.5072262663474127,2.507226266347402,2.5072262663474127,0.0,0.0
June,38,2.7703557056428245,2.770355705642828,2.7703557056428245,0.0,0.0
June,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
June,40,0.0,0.0,0.0,0.0,0.0
June,41,0.0,0.0,0.0,0.0,0.0
June,42,0.0,0.0,0.0,0.0,0.0
June,43,0.0,0.0,0.0,0.0,0.0
June,44,0.0,0.0,0.0,0.0,0.0
June,45,0.0,0.0,0.0,0.0,0.0
June,46,0.0,0.0,0.0,0.0,0.0
June,47,0.0,0.0,0.0,0.0,0.0
June,48,0.0,0.0,0.0,0.0,0.0
July,1,0.0,0.0,0.0,0.0,0.0
July,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
July,3,4.5378469389302865,4.5378469389302865,4.5378469389302865,0.0,0.0
July,4,4.3568892443349725,4.3568892443349725,4.3568892443349725,0.0,0.0
July,5,0.0,0.0,0.0,0.0,0.0
July,6,0.0,0.0,0.0,0.0,0.0
July,7,0.0,0.0,0.0,0.0,0.0
July,8,0.0,0.0,0.0,0.0,0.0
July,9,0.0,0.0,0.0,0.0,0.0
July,10,0.0,0.0,0.0,0.0,0.0
July,11,3.290210080645162,3.290210080645162,3.290210080645162,0.0,0.0
July,12,0.0,0.0,0.0,0.0,0.0
July,13,4.045225978084412,4.045225978084412,4.045225978084412,0.0,0.0
July,14,8.028540684501941,8.028540684501941,8.028540684501941,0.0,0.0
July,15,9.252288883145631,9.252288883145631,9.252288883145631,0.0,0.0
July,16,45.99260217175951,45.99260217175951,45.99260217175951,0.0,0.0
July,17,158.00771218286187,158.00771218286187,158.00771218286187,0.0,0.0
July,18,98.1305902667964,98.13059026679663,98.1305902667964,0.0,0.0
July,19,88.37515972402309,88.37515972402309,88.37515972402309,0.0,0.0
July,20,31.280859414595753,31.280859414595753,31.280859414595753,0.0,0.0
July,21,22.086301043353906,22.086301043353906,22.086301043353906,0.0,0.0
July,22,10.512441438360671,10.512441438360671,10.512441438360671,0.0,0.0
July,23,74.09625452534831,74.09625452534831,74.09625452534831,0.0,0.0
July,24,54.43061310929572,54.43061310929572,54.43061310929572,0.0,0.0
July,25,25.674547404012962,25.674547404012962,25.674547404012962,0.0,0.0
July,26,32.18243445089151,32.18243445089151,32.18243445089151,0.0,0.0
July,27,34.77116201178284,34.77116201178284,34.77116201178284,0.0,0.0
July,28,100.93464400293524,100.93464400293524,100.93464400293524,0.0,0.0
July,29,33.325796923169406,33.325796923169406,33.325796923169406,0.0,0.0
July,30,38.82874175367423,38.82874175367423,38.82874175367423,0.0,0.0
July,31,37.55841422857583,37.55841422857583,37.55841422857583,0.0,0.0
July,32,0.6290479349729807,0.6290479349729807,0.6290479349729807,0.0,0.0
July,33,41.361891276585034,41.361891276585034,41.361891276585034,0.0,0.0
