iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,July,26,corepoint_lp_dual_upper_cut,0.0,1460495.371186523,1460495.371186523,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,19,corepoint_lp_dual_upper_cut,0.0,1460040.409692652,1460040.409692652,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,21,corepoint_lp_dual_upper_cut,0.0,1454713.1858237737,1454713.1858237737,1473,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,29,corepoint_lp_dual_upper_cut,0.0,1446264.1954309386,1446264.1954309386,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,30,corepoint_lp_dual_upper_cut,0.0,1442658.3247756741,1442658.3247756741,1334,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,33,corepoint_lp_dual_upper_cut,0.0,1441194.421513589,1441194.421513589,1356,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,29,corepoint_lp_dual_upper_cut,0.0,1441048.3879196264,1441048.3879196264,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,30,corepoint_lp_dual_upper_cut,0.0,1437455.5214770832,1437455.5214770832,1337,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,26,corepoint_lp_dual_upper_cut,0.0,1437287.8854380313,1437287.8854380313,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,33,corepoint_lp_dual_upper_cut,0.0,1430398.1699794484,1430398.1699794484,1350,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,27,corepoint_lp_dual_upper_cut,0.0,1429962.1128799156,1429962.1128799156,1461,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,21,corepoint_lp_dual_upper_cut,0.0,1428286.7435290646,1428286.7435290646,1471,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,33,corepoint_lp_dual_upper_cut,0.0,1422689.9539438142,1422689.9539438142,1355,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,27,corepoint_lp_dual_upper_cut,0.0,1422536.9178624921,1422536.9178624921,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,25,corepoint_lp_dual_upper_cut,0.0,1421944.3480343092,1421944.3480343092,1458,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,29,corepoint_lp_dual_upper_cut,0.0,1417544.2426787778,1417544.2426787778,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,30,corepoint_lp_dual_upper_cut,0.0,1414009.9774986242,1414009.9774986242,1336,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,25,corepoint_lp_dual_upper_cut,0.0,1411958.2828863382,1411958.2828863382,1456,10188,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,26,corepoint_lp_dual_upper_cut,0.0,1410424.8853158604,1410424.8853158604,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,29,corepoint_lp_dual_upper_cut,0.0,1408102.9708545043,1408102.9708545043,1384,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,30,corepoint_lp_dual_upper_cut,0.0,1404592.244945479,1404592.244945479,1335,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,19,corepoint_lp_dual_upper_cut,0.0,1395013.7664426751,1395013.7664426751,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
