HexID,Month,DemandClass,RepresentativeDayDemand_kWh,RepresentativeDaySlack_kWh,AnnualSlack_kWh,SlackShare
21,October,public,1602.5000000000002,0.0,0.0,0.0
21,November,home,339.7792580411739,0.0,0.0,0.0
21,November,public,1602.5000000000002,0.0,0.0,0.0
21,December,home,339.7792580411739,0.0,0.0,0.0
21,December,public,1602.5000000000002,0.0,0.0,0.0
22,January,home,286.4686252557123,0.0,0.0,0.0
22,January,public,1552.4999999999998,0.0,0.0,0.0
22,February,home,286.4686252557123,0.0,0.0,0.0
22,February,public,1552.4999999999998,0.0,0.0,0.0
22,March,home,286.4686252557123,0.0,0.0,0.0
22,March,public,1552.4999999999998,0.0,0.0,0.0
22,April,home,286.4686252557123,0.0,0.0,0.0
22,April,public,1552.4999999999998,0.0,0.0,0.0
22,May,home,286.4686252557123,0.0,0.0,0.0
22,May,public,1552.4999999999998,0.0,0.0,0.0
22,June,home,286.4686252557123,0.0,0.0,0.0
22,June,public,1552.4999999999998,0.0,0.0,0.0
22,July,home,286.4686252557123,0.0,0.0,0.0
22,July,public,1552.4999999999998,0.0,0.0,0.0
22,August,home,286.4686252557123,0.0,0.0,0.0
22,August,public,1552.4999999999998,0.0,0.0,0.0
22,September,home,286.4686252557123,0.0,0.0,0.0
22,September,public,1552.4999999999998,0.0,0.0,0.0
22,October,home,286.4686252557123,0.0,0.0,0.0
22,October,public,1552.4999999999998,0.0,0.0,0.0
22,November,home,286.4686252557123,0.0,0.0,0.0
22,November,public,1552.4999999999998,0.0,0.0,0.0
22,December,home,286.4686252557123,0.0,0.0,0.0
22,December,public,1552.4999999999998,0.0,0.0,0.0
23,January,home,706.3432056120997,0.0,0.0,0.0
23,January,public,2982.4999999999995,0.0,0.0,0.0
23,February,home,706.3432056120997,0.0,0.0,0.0
23,February,public,2982.4999999999995,0.0,0.0,0.0
23,March,home,706.3432056120997,0.0,0.0,0.0
23,March,public,2982.4999999999995,0.0,0.0,0.0
23,April,home,706.3432056120997,0.0,0.0,0.0
23,April,public,2982.4999999999995,0.0,0.0,0.0
23,May,home,706.3432056120997,0.0,0.0,0.0
23,May,public,2982.4999999999995,0.0,0.0,0.0
23,June,home,706.3432056120997,0.0,0.0,0.0
23,June,public,2982.4999999999995,0.0,0.0,0.0
23,July,home,706.3432056120997,0.0,0.0,0.0
23,July,public,2982.4999999999995,0.0,0.0,0.0
23,August,home,706.3432056120997,0.0,0.0,0.0
23,August,public,2982.4999999999995,0.0,0.0,0.0
23,September,home,706.3432056120997,0.0,0.0,0.0
23,September,public,2982.4999999999995,0.0,0.0,0.0
23,October,home,706.3432056120997,0.0,0.0,0.0
23,October,public,2982.4999999999995,0.0,0.0,0.0
23,November,home,706.3432056120997,0.0,0.0,0.0
23,November,public,2982.4999999999995,0.0,0.0,0.0
23,December,home,706.3432056120997,0.0,0.0,0.0
23,December,public,2982.4999999999995,0.0,0.0,0.0
24,January,home,682.056975086024,0.0,0.0,0.0
24,January,public,4804.999999999998,0.0,0.0,0.0
24,February,home,682.056975086024,0.0,0.0,0.0
24,February,public,4804.999999999998,0.0,0.0,0.0
24,March,home,682.056975086024,0.0,0.0,0.0
24,March,public,4804.999999999998,0.0,0.0,0.0
24,April,home,682.056975086024,0.0,0.0,0.0
24,April,public,4804.999999999998,0.0,0.0,0.0
24,May,home,682.056975086024,0.0,0.0,0.0
24,May,public,4804.999999999998,0.0,0.0,0.0
24,June,home,682.056975086024,0.0,0.0,0.0
24,June,public,4804.999999999998,0.0,0.0,0.0
24,July,home,682.056975086024,0.0,0.0,0.0
24,July,public,4804.999999999998,0.0,0.0,0.0
24,August,home,682.056975086024,0.0,0.0,0.0
24,August,public,4804.999999999998,0.0,0.0,0.0
24,September,home,682.056975086024,0.0,0.0,0.0
24,September,public,4804.999999999998,0.0,0.0,0.0
24,October,home,682.056975086024,0.0,0.0,0.0
24,October,public,4804.999999999998,0.0,0.0,0.0
24,November,home,682.056975086024,0.0,0.0,0.0
24,November,public,4804.999999999998,0.0,0.0,0.0
24,December,home,682.056975086024,0.0,0.0,0.0
24,December,public,4804.999999999998,0.0,0.0,0.0
25,January,home,153.78927150781234,0.0,0.0,0.0
25,January,public,3959.9999999999995,0.0,0.0,0.0
25,February,home,153.78927150781234,0.0,0.0,0.0
25,February,public,3959.9999999999995,0.0,0.0,0.0
25,March,home,153.78927150781234,0.0,0.0,0.0
25,March,public,3959.9999999999995,0.0,0.0,0.0
25,April,home,153.78927150781234,0.0,0.0,0.0
25,April,public,3959.9999999999995,0.0,0.0,0.0
25,May,home,153.78927150781234,0.0,0.0,0.0
25,May,public,3959.9999999999995,0.0,0.0,0.0
25,June,home,153.78927150781234,0.0,0.0,0.0
25,June,public,3959.9999999999995,0.0,0.0,0.0
25,July,home,153.78927150781234,0.0,0.0,0.0
25,July,public,3959.9999999999995,0.0,0.0,0.0
25,August,home,153.78927150781234,0.0,0.0,0.0
25,August,public,3959.9999999999995,0.0,0.0,0.0
25,September,home,153.78927150781234,0.0,0.0,0.0
25,September,public,3959.9999999999995,0.0,0.0,0.0
25,October,home,153.78927150781234,0.0,0.0,0.0
25,October,public,3959.9999999999995,0.0,0.0,0.0
25,November,home,153.78927150781234,0.0,0.0,0.0
25,November,public,3959.9999999999995,0.0,0.0,0.0
25,December,home,153.78927150781234,0.0,0.0,0.0
25,December,public,3959.9999999999995,0.0,0.0,0.0
26,January,public,2597.5000000000005,0.0,0.0,0.0
26,February,public,2597.5000000000005,0.0,0.0,0.0
26,March,public,2597.5000000000005,0.0,0.0,0.0
26,April,public,2597.5000000000005,0.0,0.0,0.0
26,May,public,2597.5000000000005,0.0,0.0,0.0
26,June,public,2597.5000000000005,0.0,0.0,0.0
26,July,public,2597.5000000000005,0.0,0.0,0.0
26,August,public,2597.5000000000005,0.0,0.0,0.0
26,September,public,2597.5000000000005,0.0,0.0,0.0
26,October,public,2597.5000000000005,0.0,0.0,0.0
26,November,public,2597.5000000000005,0.0,0.0,0.0
26,December,public,2597.5000000000005,0.0,0.0,0.0
27,January,public,305.0,0.0,0.0,0.0
27,February,public,305.0,0.0,0.0,0.0
27,March,public,305.0,0.0,0.0,0.0
27,April,public,305.0,0.0,0.0,0.0
27,May,public,305.0,0.0,0.0,0.0
27,June,public,305.0,0.0,0.0,0.0
27,July,public,305.0,0.0,0.0,0.0
27,August,public,305.0,0.0,0.0,0.0
27,September,public,305.0,0.0,0.0,0.0
27,October,public,305.0,0.0,0.0,0.0
27,November,public,305.0,0.0,0.0,0.0
27,December,public,305.0,0.0,0.0,0.0
28,January,home,1.324375760854636,0.0,0.0,0.0
28,January,public,1002.5,0.0,0.0,0.0
28,February,home,1.324375760854636,0.0,0.0,0.0
28,February,public,1002.5,0.0,0.0,0.0
28,March,home,1.324375760854636,0.0,0.0,0.0
28,March,public,1002.5,0.0,0.0,0.0
28,April,home,1.324375760854636,0.0,0.0,0.0
28,April,public,1002.5,0.0,0.0,0.0
28,May,home,1.324375760854636,0.0,0.0,0.0
28,May,public,1002.5,0.0,0.0,0.0
28,June,home,1.324375760854636,0.0,0.0,0.0
28,June,public,1002.5,0.0,0.0,0.0
28,July,home,1.324375760854636,0.0,0.0,0.0
28,July,public,1002.5,0.0,0.0,0.0
28,August,home,1.324375760854636,0.0,0.0,0.0
28,August,public,1002.5,0.0,0.0,0.0
28,September,home,1.324375760854636,0.0,0.0,0.0
28,September,public,1002.5,0.0,0.0,0.0
28,October,home,1.324375760854636,0.0,0.0,0.0
28,October,public,1002.5,0.0,0.0,0.0
28,November,home,1.324375760854636,0.0,0.0,0.0
28,November,public,1002.5,0.0,0.0,0.0
28,December,home,1.324375760854636,0.0,0.0,0.0
28,December,public,1002.5,0.0,0.0,0.0
29,January,home,1106.343235812436,0.0,0.0,0.0
29,January,public,1217.5000000000002,0.0,0.0,0.0
29,February,home,1106.343235812436,0.0,0.0,0.0
29,February,public,1217.5000000000002,0.0,0.0,0.0
29,March,home,1106.343235812436,0.0,0.0,0.0
29,March,public,1217.5000000000002,0.0,0.0,0.0
29,April,home,1106.343235812436,0.0,0.0,0.0
29,April,public,1217.5000000000002,0.0,0.0,0.0
29,May,home,1106.343235812436,0.0,0.0,0.0
29,May,public,1217.5000000000002,0.0,0.0,0.0
29,June,home,1106.343235812436,0.0,0.0,0.0
29,June,public,1217.5000000000002,0.0,0.0,0.0
29,July,home,1106.343235812436,0.0,0.0,0.0
29,July,public,1217.5000000000002,0.0,0.0,0.0
29,August,home,1106.343235812436,0.0,0.0,0.0
29,August,public,1217.5000000000002,0.0,0.0,0.0
29,September,home,1106.343235812436,0.0,0.0,0.0
29,September,public,1217.5000000000002,0.0,0.0,0.0
29,October,home,1106.343235812436,0.0,0.0,0.0
29,October,public,1217.5000000000002,0.0,0.0,0.0
29,November,home,1106.343235812436,0.0,0.0,0.0
29,November,public,1217.5000000000002,0.0,0.0,0.0
29,December,home,1106.343235812436,0.0,0.0,0.0
29,December,public,1217.5000000000002,0.0,0.0,0.0
30,January,public,885.0,0.0,0.0,0.0
30,February,public,885.0,0.0,0.0,0.0
30,March,public,885.0,0.0,0.0,0.0
30,April,public,885.0,0.0,0.0,0.0
30,May,public,885.0,0.0,0.0,0.0
30,June,public,885.0,0.0,0.0,0.0
30,July,public,885.0,0.0,0.0,0.0
30,August,public,885.0,0.0,0.0,0.0
30,September,public,885.0,0.0,0.0,0.0
30,October,public,885.0,0.0,0.0,0.0
30,November,public,885.0,0.0,0.0,0.0
30,December,public,885.0,0.0,0.0,0.0
31,January,home,43.12782571130324,0.0,0.0,0.0
31,January,public,1972.5,0.0,0.0,0.0
31,February,home,43.12782571130324,0.0,0.0,0.0
31,February,public,1972.5,0.0,0.0,0.0
31,March,home,43.12782571130324,0.0,0.0,0.0
31,March,public,1972.5,0.0,0.0,0.0
31,April,home,43.12782571130324,0.0,0.0,0.0
31,April,public,1972.5,0.0,0.0,0.0
31,May,home,43.12782571130324,0.0,0.0,0.0
31,May,public,1972.5,0.0,0.0,0.0
31,June,home,43.12782571130324,0.0,0.0,0.0
31,June,public,1972.5,0.0,0.0,0.0
31,July,home,43.12782571130324,0.0,0.0,0.0
31,July,public,1972.5,0.0,0.0,0.0
31,August,home,43.12782571130324,0.0,0.0,0.0
31,August,public,1972.5,0.0,0.0,0.0
31,September,home,43.12782571130324,0.0,0.0,0.0
31,September,public,1972.5,0.0,0.0,0.0
31,October,home,43.12782571130324,0.0,0.0,0.0
31,October,public,1972.5,0.0,0.0,0.0
31,November,home,43.12782571130324,0.0,0.0,0.0
31,November,public,1972.5,0.0,0.0,0.0
31,December,home,43.12782571130324,0.0,0.0,0.0
31,December,public,1972.5,0.0,0.0,0.0
32,January,public,5080.0,0.0,0.0,0.0
32,February,public,5080.0,0.0,0.0,0.0
32,March,public,5080.0,0.0,0.0,0.0
32,April,public,5080.0,0.0,0.0,0.0
32,May,public,5080.0,0.0,0.0,0.0
32,June,public,5080.0,0.0,0.0,0.0
32,July,public,5080.0,0.0,0.0,0.0
32,August,public,5080.0,0.0,0.0,0.0
32,September,public,5080.0,0.0,0.0,0.0
32,October,public,5080.0,0.0,0.0,0.0
32,November,public,5080.0,0.0,0.0,0.0
32,December,public,5080.0,0.0,0.0,0.0
33,January,home,281.5902556336692,0.0,0.0,0.0
33,January,public,2877.5000000000005,0.0,0.0,0.0
33,February,home,281.5902556336692,0.0,0.0,0.0
33,February,public,2877.5000000000005,0.0,0.0,0.0
33,March,home,281.5902556336692,0.0,0.0,0.0
33,March,public,2877.5000000000005,0.0,0.0,0.0
33,April,home,281.5902556336692,0.0,0.0,0.0
33,April,public,2877.5000000000005,0.0,0.0,0.0
33,May,home,281.5902556336692,0.0,0.0,0.0
33,May,public,2877.5000000000005,0.0,0.0,0.0
33,June,home,281.5902556336692,0.0,0.0,0.0
